# Gummi eat positions — every advance count (since quicksave) at which eating
# a gummi lands on Attack or an omniboost. Let's go together, seed a61564cd.
# Generated by: python tools/gummi_positions.py --stat 0 --count 1000
# (omniboost = all four stats; otherwise the boost is Attack)

Advances | Boost
12 | Attack
18 | Omniboost
35 | Attack
41 | Attack
43 | Omniboost
46 | Attack
76 | Attack
116 | Attack
129 | Attack
143 | Omniboost
168 | Attack
195 | Attack
196 | Attack
197 | Attack
199 | Attack
205 | Omniboost
223 | Omniboost
230 | Attack
237 | Attack
239 | Attack
241 | Attack
244 | Attack
251 | Omniboost
257 | Attack
306 | Attack
311 | Attack
321 | Attack
327 | Omniboost
357 | Attack
376 | Attack
378 | Omniboost
406 | Attack
416 | Attack
431 | Attack
433 | Attack
435 | Attack
448 | Attack
456 | Attack
465 | Attack
481 | Attack
483 | Attack
485 | Attack
491 | Attack
492 | Attack
493 | Attack
502 | Attack
504 | Omniboost
509 | Omniboost
531 | Attack
533 | Omniboost
536 | Attack
538 | Omniboost
543 | Attack
566 | Omniboost
572 | Attack
580 | Omniboost
595 | Attack
597 | Attack
624 | Attack
629 | Attack
635 | Attack
637 | Attack
649 | Attack
665 | Attack
667 | Attack
720 | Attack
722 | Attack
739 | Attack
741 | Attack
746 | Attack
763 | Attack
770 | Attack
773 | Omniboost
784 | Attack
791 | Omniboost
800 | Attack
802 | Attack
813 | Omniboost
816 | Attack
841 | Attack
863 | Omniboost
870 | Attack
883 | Omniboost
891 | Attack
898 | Attack
899 | Attack
900 | Attack
905 | Attack
920 | Omniboost
945 | Attack
947 | Attack
949 | Attack
988 | Attack
998 | Attack
1019 | Omniboost
1039 | Attack
1051 | Attack
1053 | Attack
1101 | Attack
1146 | Attack
1147 | Attack
1148 | Attack
1185 | Attack
1201 | Omniboost
1215 | Attack
1217 | Omniboost
1292 | Attack
1304 | Attack
1320 | Attack
1322 | Attack
1343 | Attack
1345 | Omniboost
1352 | Omniboost
1398 | Attack
1406 | Attack
1414 | Attack
1426 | Attack
1427 | Attack
1429 | Attack
1451 | Attack
1461 | Attack
1481 | Attack
1504 | Attack
1523 | Attack
1525 | Attack
1526 | Attack
1560 | Omniboost
1577 | Attack
1579 | Attack
1614 | Attack
1615 | Attack
1641 | Attack
1725 | Attack
1752 | Attack
1760 | Attack
1781 | Attack
1799 | Omniboost
1810 | Attack
1812 | Attack
1815 | Attack
1826 | Omniboost
1846 | Attack
1848 | Omniboost
1861 | Attack
1863 | Attack
1865 | Attack
1917 | Attack
1926 | Attack
1928 | Attack
1930 | Attack
1944 | Attack
1953 | Attack
1954 | Attack
1982 | Attack
1984 | Omniboost
1986 | Attack
2002 | Omniboost
2034 | Attack
2044 | Attack
2046 | Attack
2059 | Omniboost
2066 | Attack
2121 | Attack
2135 | Omniboost
2150 | Attack
2152 | Attack
2153 | Attack
2155 | Omniboost
2160 | Attack
2168 | Attack
2170 | Attack
2172 | Attack
2174 | Attack
2200 | Attack
2202 | Attack
2208 | Omniboost
2222 | Attack
2229 | Attack
2231 | Attack
2246 | Attack
2303 | Attack
2308 | Attack
2336 | Attack
2383 | Attack
2385 | Attack
2391 | Attack
2392 | Attack
2404 | Attack
2427 | Attack
2429 | Attack
2445 | Attack
2458 | Attack
2461 | Attack
2463 | Omniboost
2486 | Attack
2491 | Attack
2493 | Omniboost
2507 | Omniboost
2535 | Attack
2541 | Attack
2544 | Attack
2552 | Omniboost
2562 | Attack
2578 | Attack
2580 | Attack
2582 | Attack
2585 | Attack
2633 | Omniboost
2649 | Attack
2659 | Attack
2664 | Omniboost
2669 | Omniboost
2698 | Attack
2701 | Omniboost
2705 | Omniboost
2710 | Attack
2718 | Attack
2729 | Attack
2732 | Omniboost
2834 | Attack
2848 | Attack
2854 | Attack
2856 | Attack
2865 | Omniboost
2880 | Omniboost
2917 | Attack
2919 | Attack
2927 | Omniboost
2930 | Attack
2945 | Attack
2947 | Attack
3018 | Omniboost
3033 | Attack
3035 | Attack
3055 | Attack
3075 | Attack
3098 | Omniboost
3115 | Omniboost
3120 | Attack
3148 | Omniboost
3174 | Attack
3183 | Attack
3225 | Attack
3239 | Attack
3249 | Attack
3251 | Attack
3266 | Attack
3271 | Attack
3273 | Attack
3306 | Attack
3325 | Attack
3389 | Attack
3401 | Attack
3438 | Attack
3440 | Attack
3470 | Attack
3500 | Attack
3519 | Attack
3520 | Attack
3526 | Attack
3534 | Attack
3543 | Attack
3545 | Attack
3547 | Omniboost
3556 | Attack
3571 | Attack
3577 | Attack
3633 | Omniboost
3636 | Attack
3667 | Attack
3721 | Attack
3744 | Attack
3746 | Attack
3765 | Attack
3804 | Attack
3825 | Omniboost
3838 | Attack
3856 | Attack
3861 | Attack
3879 | Attack
3882 | Attack
3928 | Attack
3944 | Attack
3950 | Attack
4038 | Attack
4043 | Omniboost
4068 | Attack
4070 | Attack
4116 | Omniboost
4130 | Omniboost
4143 | Attack
4167 | Attack
4168 | Attack
4174 | Attack
4184 | Attack
4216 | Attack
4218 | Omniboost
4225 | Attack
4253 | Omniboost
4265 | Attack
4268 | Omniboost
4278 | Attack
4338 | Attack
4357 | Attack
4359 | Attack
4365 | Attack
4398 | Attack
4399 | Attack
4419 | Attack
4479 | Attack
4481 | Attack
4498 | Omniboost
4501 | Attack
4503 | Attack
4508 | Attack
4516 | Omniboost
4528 | Attack
4535 | Attack
4590 | Attack
4596 | Attack
4598 | Attack
4600 | Omniboost
4617 | Attack
4619 | Attack
4642 | Attack
4671 | Attack
4673 | Attack
4692 | Attack
4706 | Attack
4719 | Omniboost
4736 | Attack
4758 | Attack
4785 | Attack
4791 | Omniboost
4797 | Attack
4803 | Attack
4813 | Attack
4829 | Attack
4842 | Attack
4899 | Attack
4966 | Omniboost
4983 | Attack
4999 | Attack
5012 | Attack
5053 | Attack
5061 | Attack
5063 | Omniboost
5106 | Attack
5108 | Attack
5110 | Attack
5176 | Attack
5183 | Attack
5185 | Attack
5187 | Omniboost
5194 | Attack
5205 | Attack
5207 | Attack
5212 | Attack
5213 | Attack
5222 | Attack
5225 | Omniboost
5250 | Omniboost
5274 | Attack
5296 | Omniboost
5330 | Attack
5340 | Attack
5342 | Attack
5392 | Attack
5393 | Attack
5395 | Attack
5421 | Attack
5498 | Attack
5500 | Attack
5502 | Attack
5508 | Omniboost
5512 | Attack
5552 | Attack
5560 | Attack
5591 | Attack
5604 | Attack
5613 | Attack
5615 | Attack
5628 | Attack
5631 | Omniboost
5649 | Omniboost
5655 | Attack
5657 | Omniboost
5692 | Omniboost
5698 | Attack
5700 | Attack
5724 | Attack
5727 | Attack
5729 | Attack
5735 | Attack
5762 | Attack
5785 | Omniboost
5798 | Attack
5800 | Attack
5802 | Omniboost
5808 | Attack
5823 | Attack
5825 | Attack
5827 | Attack
5869 | Attack
5871 | Attack
5873 | Attack
5885 | Omniboost
5927 | Attack
5929 | Omniboost
5935 | Attack
5937 | Attack
5981 | Attack
5983 | Attack
5999 | Omniboost
6010 | Attack
6027 | Attack
6045 | Attack
6053 | Attack
6055 | Attack
6063 | Attack
6082 | Attack
6098 | Attack
6122 | Attack
6174 | Omniboost
6201 | Attack
6213 | Attack
6224 | Attack
6244 | Attack
6246 | Attack
6249 | Attack
6251 | Omniboost
6262 | Omniboost
6286 | Omniboost
6304 | Attack
6319 | Attack
6326 | Omniboost
6350 | Omniboost
6380 | Attack
6382 | Attack
6390 | Omniboost
6412 | Attack
6414 | Attack
6415 | Attack
6416 | Attack
6417 | Attack
6418 | Attack
6420 | Attack
6453 | Attack
6507 | Attack
6524 | Attack
6550 | Attack
6552 | Attack
6586 | Attack
6624 | Omniboost
6639 | Attack
6654 | Attack
6656 | Omniboost
6677 | Attack
6679 | Attack
6705 | Attack
6710 | Attack
6727 | Attack
6729 | Attack
6738 | Attack
6741 | Attack
6755 | Attack
6757 | Attack
6777 | Omniboost
6787 | Attack
6789 | Omniboost
6822 | Attack
6825 | Attack
6827 | Omniboost
6846 | Omniboost
6869 | Attack
6890 | Attack
6907 | Attack
6924 | Attack
6925 | Attack
6962 | Omniboost
6971 | Omniboost
6974 | Omniboost
7011 | Attack
7056 | Attack
7066 | Attack
7068 | Attack
7073 | Attack
7074 | Attack
7086 | Attack
7096 | Attack
7103 | Attack
7105 | Attack
7107 | Omniboost
7136 | Omniboost
7139 | Omniboost
7197 | Omniboost
7201 | Attack
7239 | Attack
7244 | Attack
7252 | Attack
7254 | Attack
7259 | Attack
7261 | Attack
7263 | Omniboost
7292 | Attack
7298 | Attack
7310 | Omniboost
7317 | Attack
7341 | Attack
7343 | Omniboost
7351 | Omniboost
7412 | Attack
7415 | Attack
7418 | Omniboost
7423 | Attack
7442 | Attack
7444 | Attack
7449 | Attack
7451 | Attack
7516 | Omniboost
7544 | Attack
7546 | Attack
7548 | Attack
7558 | Omniboost
7584 | Attack
7600 | Attack
7601 | Attack
7603 | Attack
7618 | Attack
7620 | Attack
7646 | Attack
7649 | Attack
7651 | Attack
7664 | Attack
7666 | Omniboost
7678 | Attack
7685 | Attack
7735 | Attack
7752 | Attack
7770 | Attack
7820 | Attack
7822 | Attack
7829 | Attack
7874 | Attack
7887 | Attack
7894 | Omniboost
7904 | Attack
7917 | Attack
7940 | Omniboost
7953 | Attack
7955 | Omniboost
7961 | Attack
7985 | Attack
7987 | Attack
7989 | Attack
7990 | Attack
7992 | Attack
7994 | Attack
8008 | Attack
8010 | Attack
8016 | Attack
8018 | Attack
8030 | Omniboost
8040 | Attack
8069 | Attack
8095 | Omniboost
8108 | Attack
8109 | Attack
8111 | Attack
8135 | Attack
8158 | Omniboost
8178 | Attack
8184 | Omniboost
8212 | Attack
8217 | Attack
8222 | Omniboost
8226 | Attack
8297 | Omniboost
8327 | Omniboost
8337 | Attack
8345 | Attack
8347 | Omniboost
8364 | Attack
8377 | Attack
8385 | Attack
8387 | Attack
8433 | Attack
8438 | Attack
8472 | Omniboost
8480 | Attack
8539 | Attack
8541 | Omniboost
8543 | Attack
8550 | Attack
8552 | Attack
8599 | Attack
8601 | Attack
8604 | Attack
8625 | Attack
8658 | Attack
8679 | Attack
8710 | Attack
8792 | Attack
8810 | Attack
8812 | Attack
8814 | Attack
8828 | Attack
8847 | Attack
8849 | Attack
8852 | Omniboost
8863 | Attack
8880 | Attack
8907 | Omniboost
8917 | Attack
8931 | Attack
8956 | Attack
8958 | Attack
8960 | Attack
8961 | Attack
8963 | Attack
8965 | Attack
8967 | Attack
8975 | Attack
8976 | Attack
8978 | Attack
9010 | Attack
9012 | Attack
9021 | Attack
9034 | Attack
9041 | Attack
9057 | Attack
9062 | Attack
9065 | Attack
9067 | Attack
9091 | Attack
9093 | Omniboost
9098 | Attack
9100 | Attack
9102 | Attack
9114 | Attack
9143 | Omniboost
9147 | Attack
9169 | Omniboost
9184 | Omniboost
9213 | Attack
9239 | Attack
9259 | Attack
9261 | Attack
9277 | Attack
9279 | Attack
9281 | Attack
9288 | Attack
9303 | Attack
9305 | Attack
9307 | Attack
9317 | Attack
9324 | Attack
9325 | Attack
9346 | Attack
9352 | Omniboost
9355 | Attack
9358 | Attack
9401 | Attack
9437 | Attack
9456 | Attack
9458 | Attack
9464 | Attack
9491 | Attack
9508 | Attack
9517 | Attack
9522 | Omniboost
9543 | Attack
9553 | Attack
9590 | Attack
9637 | Omniboost
9640 | Attack
9642 | Omniboost
9650 | Omniboost
9666 | Attack
9698 | Attack
9705 | Attack
9706 | Attack
9714 | Attack
9776 | Attack
9782 | Attack
9801 | Omniboost
9830 | Omniboost
9838 | Attack
9841 | Attack
9848 | Omniboost
9897 | Attack
9899 | Attack
9905 | Attack
9924 | Attack
9974 | Omniboost
10004 | Attack
10012 | Attack
10031 | Omniboost
10041 | Attack
10047 | Attack
10049 | Attack
10055 | Attack
10057 | Attack
10065 | Attack
10067 | Attack
10069 | Attack
10075 | Attack
10077 | Attack
10122 | Omniboost
10125 | Omniboost
10137 | Attack
10144 | Omniboost
10166 | Attack
10174 | Omniboost
10181 | Attack
10184 | Attack
10206 | Attack
10220 | Attack
10223 | Attack
10236 | Attack
10238 | Omniboost
10247 | Attack
10254 | Attack
10273 | Attack
10301 | Attack
10315 | Attack
10325 | Attack
10339 | Attack
10341 | Attack
10343 | Omniboost
10352 | Attack
10354 | Attack
10384 | Attack
10391 | Attack
10393 | Attack
10400 | Omniboost
10411 | Attack
10421 | Omniboost
10435 | Attack
10437 | Attack
10452 | Omniboost
10455 | Attack
10457 | Attack
10487 | Attack
10506 | Omniboost
10520 | Attack
10522 | Attack
10540 | Attack
10550 | Attack
10552 | Attack
10554 | Attack
10563 | Omniboost
10568 | Omniboost
10576 | Attack
10620 | Attack
10643 | Attack
10648 | Attack
10666 | Attack
10727 | Attack
10751 | Attack
10753 | Omniboost
10756 | Attack
10763 | Attack
10773 | Attack
10775 | Attack
10806 | Omniboost
10836 | Attack
10842 | Attack
10870 | Attack
10872 | Omniboost
10875 | Attack
10887 | Attack
10889 | Attack
10891 | Attack
10899 | Omniboost
10932 | Attack
10934 | Omniboost
10936 | Attack
10938 | Attack
10968 | Attack
10988 | Attack
10990 | Attack
11003 | Attack
11005 | Attack
11027 | Omniboost
11042 | Attack
11052 | Attack
11054 | Omniboost
11076 | Omniboost
11093 | Attack
11126 | Attack
11138 | Attack
11140 | Omniboost
11155 | Attack
11157 | Omniboost
11159 | Attack
11172 | Attack
11174 | Attack
11188 | Attack
11190 | Attack
11202 | Attack
11204 | Attack
11217 | Attack
11226 | Omniboost
11228 | Attack
11243 | Attack
11245 | Omniboost
11255 | Attack
11293 | Attack
11301 | Omniboost
11333 | Attack
11336 | Attack
11338 | Attack
11340 | Attack
11341 | Attack
11343 | Attack
11345 | Attack
11370 | Attack
11372 | Attack
11374 | Omniboost
11381 | Omniboost
11385 | Omniboost
11399 | Attack
11401 | Attack
11403 | Attack
11420 | Attack
11425 | Attack
11427 | Omniboost
11430 | Omniboost
11432 | Attack
11441 | Attack
11465 | Omniboost
11482 | Omniboost
11512 | Attack
11521 | Attack
11526 | Attack
11527 | Attack
11535 | Attack
11572 | Attack
11578 | Attack
11580 | Attack
11586 | Attack
11587 | Attack
11589 | Attack
11595 | Attack
11598 | Attack
11600 | Attack
11615 | Attack
11617 | Attack
11628 | Attack
11650 | Attack
11653 | Omniboost
11655 | Attack
11667 | Attack
11669 | Attack
11671 | Attack
11673 | Attack
11685 | Omniboost
11688 | Attack
11702 | Attack
11703 | Attack
11716 | Attack
11718 | Attack
11727 | Omniboost
11732 | Attack
11735 | Attack
11747 | Attack
11749 | Attack
11751 | Attack
11838 | Attack
11860 | Attack
11861 | Attack
11867 | Omniboost
11878 | Attack
11888 | Attack
11901 | Attack
11911 | Omniboost
11919 | Attack
11932 | Attack
11941 | Omniboost
12012 | Attack
12022 | Omniboost
12035 | Attack
12043 | Attack
12051 | Attack
12053 | Attack
12080 | Attack
12093 | Omniboost
12121 | Attack
12126 | Omniboost
12151 | Attack
12173 | Attack
12175 | Attack
12178 | Attack
12180 | Omniboost
12205 | Attack
12207 | Attack
12266 | Attack
12269 | Attack
12284 | Attack
12292 | Omniboost
12327 | Attack
12330 | Attack
12332 | Attack
12340 | Attack
12380 | Omniboost
12384 | Attack
12402 | Attack
12404 | Attack
12420 | Omniboost
12424 | Attack
12426 | Omniboost
12428 | Attack
12451 | Attack
12460 | Attack
12470 | Attack
12485 | Attack
12487 | Attack
12493 | Attack
