0x0 	Nothing 	なし
0x1 	Stick 	きのえだ
0x2 	Iron Thorn 	てつのトゲ
0x3 	Silver Spike 	ぎんのハリ
0x4 	Gold Fang 	きんのキバ
0x5 	Cacnea Spike 	サボネアのハリ
0x6 	Corsola Twig 	サニーゴのトゲ
0x7 	Gravelerock 	ゴローンのいし
0x8 	Geo Pebble 	いしのつぶて
0x9 	Gold Thorn 	おうごんのトゲ
0xa 	Rare Fossil 	たいこのかせき
0xb 	$$$ 	$$$
0xc 	$$$ 	$$$
0xd 	No-Slip Cap 	くっつくずきん
0xe 	Y-Ray Specs 	みおとしメガネ
0xf 	Gaggle Specs 	ばっちりメガネ
0x10 	Mobile Scarf 	つうかスカーフ
0x11 	Heal Ribbon 	かいふくリボン
0x12 	Twist Band 	ねじりハチマキ
0x13 	Scope Lens 	ピントレンズ
0x14 	Patsy Band 	ねらわれハチマキ
0x15 	No-Stick Cap 	くっつかずきん
0x16 	Pierce Band 	かんつうバンダナ
0x17 	Joy Ribbon 	しあわせリボン
0x18 	X-Ray Specs 	みとおしメガネ
0x19 	Persim Band 	キーのハチマキ
0x1a 	Power Band 	パワーバンダナ
0x1b 	Pecha Scarf 	モモンスカーフ
0x1c 	Insomniscope 	ふみんスコープ
0x1d 	Warp Scarf 	ワープスカーフ
0x1e 	Tight Belt 	きついハラマキ
0x1f 	Sneak Scarf 	こっそりスカーフ
0x20 	Gold Ribbon 	きんのリボン
0x21 	Goggle Specs 	ぱっちりメガネ
0x22 	Diet Ribbon 	はらぺこリボン
0x23 	Trap Scarf 	わなぬけスカーフ
0x24 	Racket Band 	ばくおんハチマキ
0x25 	Def. Scarf 	ぼうぎょスカーフ
0x26 	Stamina Band 	スタミナリボン
0x27 	Plain Ribbon 	ただのリボン
0x28 	Special Band 	スペシャルリボン
0x29 	Zinc Band 	キトサンバンダナ
0x2a 	Detect Band 	みきりハチマキ
0x2b 	Space Globe 	じくうのオーブ
0x2c 	Dodge Scarf 	みかわしスカーフ
0x2d 	Bounce Band 	おはじきリボン
0x2e 	Curve Band 	カーブバンダナ
0x2f 	Whiff Specs 	あたらずメガネ
0x30 	No-Aim Scope 	ノーコンスコープ
0x31 	Lockon Specs 	ロックオンメガネ
0x32 	Munch Belt 	ゴンベのハラマキ
0x33 	Pass Scarf 	あしらいスカーフ
0x34 	Weather Band 	ノーてんバンダナ
0x35 	Friend Bow 	ともだちリボン
0x36 	Beauty Scarf 	うつくしスカーフ
0x37 	Sun Ribbon 	たいようのリボン
0x38 	Lunar Ribbon 	げっこうのリボン
0x39 	Golden Mask 	おうごんかめん
0x3a 	Amber Tear 	こはくのなみだ
0x3b 	Icy Flute 	こおりのフルート
0x3c 	Fiery Drum 	ほのおのドラム
0x3d 	Terra Cymbal 	だいちのシンバル
0x3e 	Aqua-Monica 	みずのハーモニカ
0x3f 	Rock Horn 	いわのメガホン
0x40 	Grass Cornet 	くさのラッパ
0x41 	Sky Melodica 	ひこうのピアノ
0x42 	Miracle Chest 	ミラクルチェスト
0x43 	Wonder Chest 	ワンダーチェスト
0x44 	IQ Booster 	ＩＱアッパー
0x45 	Heal Seed 	いやしのタネ
0x46 	Oran Berry 	オレンのみ
0x47 	Sitrus Berry 	オボンのみ
0x48 	Eyedrop Seed 	めぐすりのタネ
0x49 	Reviver Seed 	ふっかつのタネ
0x4a 	Blinker Seed 	めつぶしのタネ
0x4b 	Doom Seed 	ふこうのタネ
0x4c 	X-Eye Seed 	まどわしのタネ
0x4d 	Life Seed 	いのちのタネ
0x4e 	Rawst Berry 	チーゴのみ
0x4f 	Hunger Seed 	くうふくのタネ
0x50 	Quick Seed 	しゅんそくのタネ
0x51 	Pecha Berry 	モモンのみ
0x52 	Cheri Berry 	クラボのみ
0x53 	Totter Seed 	ふらふらのタネ
0x54 	Sleep Seed 	すいみんのタネ
0x55 	Plain Seed 	ただのタネ
0x56 	Warp Seed 	ワープのタネ
0x57 	Blast Seed 	ばくれつのタネ
0x58 	Ginseng 	カテキン
0x59 	Joy Seed 	しあわせのタネ
0x5a 	Chesto Berry 	カゴのみ
0x5b 	Stun Seed 	しばられのタネ
0x5c 	Gabite Scale 	ガバイトのウロコ
0x5d 	Golden Seed 	おうごんのタネ
0x5e 	Vile Seed 	じゃあくなタネ
0x5f 	Pure Seed 	せいなるタネ
0x60 	Violent Seed 	もうげきのタネ
0x61 	Vanish Seed 	ドロンのタネ
0x62 	$$$ 	$$$
0x63 	Max Elixir 	ピーピーマックス
0x64 	Protein 	タウリン
0x65 	Calcium 	リゾチウム
0x66 	Iron 	ブロムヘキシン
0x67 	Nectar 	おいしいミツ
0x68 	Dropeye Seed 	めくすぐりのタネ
0x69 	Reviser Seed 	ぷっかつのタネ
0x6a 	Slip Seed 	すいみんぐのタネ
0x6b 	Via Seed 	じゃあなのタネ
0x6c 	Zinc 	キトサン
0x6d 	Apple 	リンゴ
0x6e 	Big Apple 	おおきなリンゴ
0x6f 	Grimy Food 	ベトベタフード
0x70 	Huge Apple 	とくだいリンゴ
0x71 	$$$ 	$$$
0x72 	$$$ 	$$$
0x73 	Golden Apple 	おうごんのリンゴ
0x74 	Mix Elixir 	ピーピーマッスグ
0x75 	Oren Berry 	オレソのみ
0x76 	Dough Seed 	ふごうのタネ
0x77 	White Gummi 	しろいグミ
0x78 	Red Gummi 	あかいグミ
0x79 	Blue Gummi 	あおいグミ
0x7a 	Grass Gummi 	わかくさグミ
0x7b 	Yellow Gummi 	きいろグミ
0x7c 	Clear Gummi 	とうめいグミ
0x7d 	Orange Gummi 	だいだいグミ
0x7e 	Pink Gummi 	ももいろグミ
0x7f 	Brown Gummi 	ちゃいろグミ
0x80 	Sky Gummi 	そらいろグミ
