dungeon_id,folder,dungeon_name,number_floors,mappa_index,start_after
0,000_Test Dungeon,Test Dungeon,3,0,0
1,001_Beach Cave,Beach Cave,4,1,0
2,002_Beach Cave Pit,Beach Cave Pit,1,1,4
3,003_Drenched Bluff,Drenched Bluff,6,2,0
4,004_Mt. Bristle,Mt. Bristle,9,3,0
5,005_Mt. Bristle Peak,Mt. Bristle Peak,1,3,9
6,006_Waterfall Cave,Waterfall Cave,8,4,0
7,007_Apple Woods,Apple Woods,12,5,0
8,008_Craggy Coast,Craggy Coast,9,6,0
9,009_Side Path,Side Path,5,7,0
10,010_Mt. Horn,Mt. Horn,14,8,0
11,011_Rock Path,Rock Path,5,9,0
12,012_Foggy Forest,Foggy Forest,11,10,0
13,013_Forest Path,Forest Path,5,11,0
14,014_Steam Cave,Steam Cave,8,12,0
15,015_Upper Steam Cave,Upper Steam Cave,7,12,8
16,016_Steam Cave Peak,Steam Cave Peak,1,12,15
17,017_Amp Plains,Amp Plains,10,13,0
18,018_Far Amp Plains,Far Amp Plains,9,13,10
19,019_Amp Clearing,Amp Clearing,1,13,19
20,020_Northern Desert,Northern Desert,15,14,0
21,021_Quicksand Cave,Quicksand Cave,10,15,0
22,022_Quicksand Pit,Quicksand Pit,10,15,10
23,023_Underground Lake,Underground Lake,1,15,20
24,024_Crystal Cave,Crystal Cave,11,16,0
25,025_Crystal Crossing,Crystal Crossing,13,17,0
26,026_Shining Lake,Shining Lake,1,17,13
27,027_Chasm Cave,Chasm Cave,8,18,0
28,028_Dark Hill,Dark Hill,15,19,0
29,029_Sealed Ruin,Sealed Ruin,8,20,0
30,030_Deep Sealed Ruin,Deep Sealed Ruin,6,20,8
31,031_Sealed Ruin Pit,Sealed Ruin Pit,1,20,14
32,032_Dusk Forest,Dusk Forest,8,21,0
33,033_Deep Dusk Forest,Deep Dusk Forest,12,22,0
34,034_Treeshroud Forest,Treeshroud Forest,20,23,0
35,035_Brine Cave,Brine Cave,9,24,0
36,036_Lower Brine Cave,Lower Brine Cave,5,24,9
37,037_Brine Cave Pit,Brine Cave Pit,1,24,14
38,038_Hidden Land,Hidden Land,15,25,0
39,039_Hidden Highland,Hidden Highland,8,25,15
40,040_Old Ruins,Old Ruins,1,25,23
41,041_Temporal Tower,Temporal Tower,13,26,0
42,042_Temporal Spire,Temporal Spire,10,26,13
43,043_Temporal Pinnacle,Temporal Pinnacle,1,26,23
44,044_Mystifying Forest,Mystifying Forest,13,27,0
45,045_Mystifying Forest Clearing,Mystifying Forest Clearing,1,27,13
46,046_Blizzard Island,Blizzard Island,20,41,0
47,047_Crevice Cave,Crevice Cave,10,43,0
48,048_Lower Crevice Cave,Lower Crevice Cave,4,43,10
49,049_Crevice Cave Pit,Crevice Cave Pit,1,43,14
50,050_Surrounded Sea,Surrounded Sea,20,33,0
51,051_Miracle Sea,Miracle Sea,18,34,0
52,052_Deep Miracle Sea,Deep Miracle Sea,4,34,18
53,053_Miracle Seabed,Miracle Seabed,1,34,22
54,054_Ice Aegis Cave,Ice Aegis Cave,3,52,0
55,055_Regice Chamber,Regice Chamber,1,52,3
56,056_Rock Aegis Cave,Rock Aegis Cave,3,52,4
57,057_Regirock Chamber,Regirock Chamber,1,52,7
58,058_Steel Aegis Cave,Steel Aegis Cave,4,52,8
59,059_Registeel Chamber,Registeel Chamber,1,52,12
60,060_Aegis Cave Pit,Aegis Cave Pit,5,52,13
61,061_Regigigas Chamber,Regigigas Chamber,1,52,18
62,062_Mt. Travail,Mt. Travail,19,56,0
63,063_The Nightmare,The Nightmare,17,57,0
64,064_Spacial Rift,Spacial Rift,15,58,0
65,065_Deep Spacial Rift,Deep Spacial Rift,9,58,15
66,066_Spacial Rift Bottom,Spacial Rift Bottom,1,58,24
67,067_Dark Crater,Dark Crater,15,54,0
68,068_Deep Dark Crater,Deep Dark Crater,14,54,15
69,069_Dark Crater Pit,Dark Crater Pit,1,54,29
70,070_Concealed Ruins,Concealed Ruins,30,35,0
71,071_Deep Concealed Ruins,Deep Concealed Ruins,1,35,30
72,072_Marine Resort,Marine Resort,19,55,0
73,073_Bottomless Sea,Bottomless Sea,49,32,0
74,074_Bottomless Sea Depths,Bottomless Sea Depths,1,32,49
75,075_Shimmer Desert,Shimmer Desert,9,42,0
76,076_Shimmer Desert Pit,Shimmer Desert Pit,1,42,9
77,077_Mt. Avalanche,Mt. Avalanche,19,44,0
78,078_Mt. Avalanche Peak,Mt. Avalanche Peak,1,44,19
79,079_Giant Volcano,Giant Volcano,19,45,0
80,080_Giant Volcano Peak,Giant Volcano Peak,1,45,19
81,081_World Abyss,World Abyss,29,46,0
82,082_World Abyss Pit,World Abyss Pit,1,46,29
83,083_Sky Stairway,Sky Stairway,49,51,0
84,084_Sky Stairway Apex,Sky Stairway Apex,1,51,49
85,085_Mystery Jungle,Mystery Jungle,29,37,0
86,086_Deep Mystery Jungle,Deep Mystery Jungle,1,37,29
87,087_Serenity River,Serenity River,8,39,0
88,088_Landslide Cave,Landslide Cave,13,40,0
89,089_Lush Prairie,Lush Prairie,6,47,0
90,090_Tiny Meadow,Tiny Meadow,5,48,0
91,091_Labyrinth Cave,Labyrinth Cave,10,49,0
92,092_Oran Forest,Oran Forest,5,50,0
93,093_Lake Afar,Lake Afar,25,29,0
94,094_Happy Outlook,Happy Outlook,20,38,0
95,095_Mt. Mistral,Mt. Mistral,20,30,0
96,096_Shimmer Hill,Shimmer Hill,18,31,0
97,097_Lost Wilderness,Lost Wilderness,18,36,0
98,098_Midnight Forest,Midnight Forest,25,28,0
